key,alt,answer
一,"yī (一, 一)",det.: one
在,"zài (在, 在)","in, at, on, etc."
有,"yǒu (有, 有)","have, possess"
個,"ge (個, 个)",m.[general]
我,"wǒ (我, 我)","I, me, ego, self"
不,"bù (不, 不)","non, do not, no, nowise, not, nope, nae, no more, nix"
這,"zhè (這, 这)","now, this, det.: this, it"
了,"le (了, 了)",entirely
他,"tā (他, 他)","he,  she,  it,  they"
也,"yě (也, 也)","also, too, as well, either, even"
就,"jiù (就, 就)","then,  at once,  right away,  an indicator strengthening speaker's evaluation"
人,"rén (人, 人)","person,  people"
都,"dōu (都, 都)","all, even, already"
說,"shuō (說, 说)","speak, talk, explain, scold"
而,"ér (而, 而)",conj.: and yet
我們,"wǒmen (我們, 我们)",we
你,"nǐ (你, 你)",you
要,"yào (要, 要)","must, should"
會,"huì (會, 会)",will
對,"duì (對, 对)",toward
及,"jí (及, 及)",conj.: and
和,"hé (和, 和)",conj.: and
與,"yǔ (與, 与)","conj.: and, together with"
以,"yǐ (以, 以)","using,  taking,  from a point on,  because of"
很,"hěn (很, 很)","pretty, thrice, monstrously, gey, quite, mighty, stinking, sopping, some, assai, full, most, clinking, much, thumping, awfully, fiendishly, thundering, very, real, really, bally, proper, grossly, powerful, so, rattling, well, considerably, greatly, terribly"
種,"zhǒng (種, 种)",m.[kind]
的,"de (的, 的)",particle: emphasizing an action/situation
大,"dà (大, 大)","great, macro, old, very, vast, tall, big, high, much"
能,"néng (能, 能)",can or to be capable of
著,"zhe (著, 着)",[aspect]
她,"tā (她, 她)","she, her, she  ,"
那,"nà (那, 那)",det.: that
上,"shàng (上, 上)","on, above"
但,"dàn (但, 但)","conj.: but, yet, still, nevertheless, only, merely"
年,"nián (年, 年)",m.[standard]
還,"hái (還, 还)","still, yet, also, too, as well, besides"
可以,"kěyǐ (可以, 可以)","can, may"
最,"zuì (最, 最)","most, to the highest degree, much, superlatively"
自己,"zìjǐ (自己, 自己)","lonesome, number_one, own, ego, self, oneself, name"
為,"wéi (為, 为)",by
來,"lái (來, 来)",to
所,"suǒ (所, 所)",that which
他們,"tāmen (他們, 他们)",they
兩,"liǎng (兩, 两)","det.: two, both sides , either"
各,"gè (各, 各)","det.: each, every"
可,"kě (可, 可)","can, may"
或,"huò (或, 或)","conj.: or, either or"
好,"hǎo (好, 好)",good
等,"děng (等, 等)","conj.: and so on,  etc"
又,"yòu (又, 又)","again, moreover"
將,"jiāng (將, 将)",be about to
因為,"yīnwèi (因為, 因为)","conj.: because, for, on account of"
於,"yū (於, 于)","in, at, to, from, out of, by"
由,"yóu (由, 由)","from, via, by, through, owing/due to"
從,"cóng (從, 从)","from, since, through"
更,"gèng (更, 更)","more, still/even more, further, furthermore"
被,"bèi (被, 被)",by
才,"cái (才, 才)","then and only then,  just now,  only before a number"
已,"yǐ (已, 已)",already
者,"zhě (者, 者)","nominal suffix, one who,  er"
每,"měi (每, 每)",det.: every
次,"cì (次, 次)",m.[activity]
把,"bǎ (把, 把)",indicating pre verbal object as thing dealt with by the action
三,"sān (三, 三)",det.: three
什麼,"shéme (什麼, 什么)","anything, what"
問題,"wèntí (問題, 问题)","problem, mishap, query, job, interface, question, inquiry, matter, enquiry, trouble, issue, worry, subject, topic, hang up, business, quaere"
其,"qí (其, 其)","det.: its, his, her, their, it, this, that"
讓,"ràng (讓, 让)","allow, induce sb. to do sth."
此,"cǐ (此, 此)","this, det.: this, here"
做,"zuò (做, 做)","make, do"
再,"zài (再, 再)","again, once more, further more , in a higher degree, and then, not"
所以,"suǒyǐ (所以, 所以)","conj.: so, therefore, as a result"
只,"zhǐ (只, 只)","only, merely"
則,"zé (則, 则)","then, in that case"
台灣,"táiwān (台灣, 台湾)",Taiwan
卻,"què (卻, 却)","however, but, yet, indeed"
並,"bìng (並, 并)",conj.: and
位,"wèi (位, 位)","location, digit, m.[general], , status, figure, throne, position, place, condition"
想,"xiǎng (想, 想)","think, suppose, reckon, consider, want to, would like to, feel like doing sth."
去,"qù (去, 去)",in order to
呢,"ne (呢, 呢)",particle: marking quesitons about subject already mentioned; indicating strong affirmation
學生,"xuéshēng (學生, 学生)","academic, pupil, pup, tutee, follower, scholar, schoolchild, schoolboy, alumnus, disciple, learner, scholastic, student"
表示,"biǎoshì (表示, 表示)","demonstrate, exhibit, prove, show, extend, manifest, express, stamp, signify, mark, witness, look, give, denote, evince, expression, bespeak, say, profess, mean, offer, utter, infer, indicate, represent, read, speak, refer, give tongue to, intend, be, shew, pay, stand_for, establish, stand for, present, render, betoken"
到,"dào (到, 到)",up until
公司,"gōngsī (公司, 公司)","place of business, business organization, incorporation, establishment, business concern, office, concern, business establishment, business, enterprise, company, corporation"
如果,"rúguǒ (如果, 如果)",conj.: if
社會,"shèhuì (社會, 社会)","community, society, monde, social, public"
看,"kàn (看, 看)","see, look at, watch, read, look upon, regard, look after, call on, visit"
小,"xiǎo (小, 小)","small, little, petty, minor;young"
天,"tiān (天, 天)",m.[standard]
因此,"yīncǐ (因此, 因此)","conj.: therefore, consequently"
新,"xīn (新, 新)","new, fresh, up to date"
但是,"dànshì (但是, 但是)","conj.: but, however, yet, still"
它,"tā (它, 它)","they neologism for {1ta1}[3] [4] ,  [4]"
中,"zhōng (中, 中)","center, middle, interior"
使,"shǐ (使, 使)","rarefy, piss_off, germinate, drench, blow_out, leave, cut_up, refract, run, dress_up, compose, shed, frizz, put_off, trot, send, strike, send as envoy , peal, alienate, pull_in, tone_up, bring around, astound, sublease, wither, cripple, bed_down, address, rehearse, usage, warm, smell_out, throw, inflect, get_down, skunk, capsize, congeal, bowl_over, bring_on, unseat, ensure, amalgamate, pro"
工作,"gōngzuò (工作, 工作)","work, job"
全,"quán (全, 全)","det.: all, Surname, whole, Quan"
覺得,"juéde (覺得, 觉得)","imagine, guess, believe, reckon, suspect, suppose, think, listen, feel, consider, think_of, appear, conceive"
使用,"shǐyòng (使用, 使用)","use, employ, apply"
這些,"zhèxiē (這些, 这些)",det.: these
裡,"lǐ (裡, 里)",inside
由於,"yóuyū (由於, 由于)",conj.: owing/due/thanks to
時候,"shíhòu (時候, 时候)","day, moment,  a point in time,"
知道,"zhīdào (知道, 知道)","tell, have, ken, understand, infer, wis, learn, cognize, gather, know, be aware of, wise up, savvy, mind, realize"
這樣,"zhèyàng (這樣, 这样)","so, such, like this, this way"
認為,"rènwéi (認為, 认为)","find, treat, deem, suppose, look_on, repute, discount, esteem, accredit, feel, account, calculate, estimate, take to be, reckon, expect, think, hold, trust, recognise, opine, sound off, adjudge, consideration, consider, regard as, look upon, believe_in, disbelieve, allow, conceive, regard, call, imagine, view, forecast, believe, suspect, rate, animadvert, look on, listen, speak up, figure, c"
時間,"shíjiān (時間, 时间)","moment, day, clock time, fourth_dimension, relativity, hour, duration, time, when, while, temporal, economy"
事,"shì (事, 事)","responsibility, trouble, event, thing, worry, accident, case, involvement, work, affair, job, concern, business, toast, matter"
過,"guò (過, 过)",[aspect]
向,"xiàng (向, 向)","to, towards"
可能,"kěnéng (可能, 可能)","probably, maybe"
中國,"zhōngguó (中國, 中国)","Cathay, China, china"
美國,"měiguó (美國, 美国)","House_of_Representatives, the United States of America, US, U.S.A., bench, Columbia, Yankeeland, U.S., United States, Democrat, Yankeedom, USA, America, United States of America"
幾,"jǐ (幾, 几)","det.: how many, a few, several, some"
系統,"xìtǒng (系統, 系统)","lineage, filiation, scheme, pedigree, system, formation, superstructure, programme, organization, succession, tract, system of rules, organisation, program"
政府,"zhèngfǔ (政府, 政府)","sirkar, state, country, nation, governmental, body politic, government, administration, civil order, polity, commonwealth, regime, res publica, land"
大家,"dàjiā (大家, 大家)","sundry, great master, rich and influential family, pontiff, all of us, everyone, authority, master, distinguished family"
國家,"guójiā (國家, 国家)","sirkar, state, country, patria, a people, nationality, nation, republic, soli, body politic, clime, national, civil order, polity, commonwealth, land, res publica"
許多,"xǔduō (許多, 许多)","lot, scores, lots, sight, pot, heap, quantity, plenty, slews, ton, battalion, many, scads, tidy sum, power, spate, chunk, pile, crowd, vastness, batch, lashings, whole lot, mint, mound, pocketful, large number, trunkful, ream, mickle, great deal, flock, mass, slew, heaps, a lot of, piles, whole slew, mess, raff, slue, gobs, much, lotta, multitude, volume, wad, store, raft, tons, satiety, rafts, doze"
生活,"shēnghuó (生活, 生活)","life, existence, livelihood"
跟,"gēn (跟, 跟)","with,  to,  from"
已經,"yǐjīng (已經, 已经)",already
大學,"dàxué (大學, 大学)","university, college"
研究,"yánjiù (研究, 研究)","study, research"
因,"yīn (因, 因)","conj.: because, as"
本,"běn (本, 本)",det.: this
二,"èr (二, 二)","det.: two,  second"
活動,"huódòng (活動, 活动)","activity, maneuver, behavior"
該,"gāi (該, 该)","det.: this,  that"
世界,"shìjiè (世界, 世界)","mundane, creation, world, monde, orb, nature, domain"
應,"yīng (應, 应)","should, ought to"
四,"sì (四, 四)",det.: four
希望,"xīwàng (希望, 希望)","hope, wish"
方式,"fāngshì (方式, 方式)","path, plan, pattern, tenor, system, method, manner, style, way, guise, fashion, wise, means, shape, how, embodiment, agency, gate, mode, sort"
內,"nèi (內, 内)",inside
項,"xiàng (項, 项)",m.[general]
啊,"ā (啊, 啊)",particle: used in direct address and exclamation; indicating obviousness/impatience/suggestion; used for confirmation
下,"xià (下, 下)",under condition/fact etc.
環境,"huánjìng (環境, 环境)","circumambiency, environmental, circumstances, environment, entourage, surround, atmosphere, setting, surroundings, ambiance, condition, context, circumstance, surrounding, frame, milieu, ambient, consideration, environs, medium, ambience"
一些,"yīxiē (一些, 一些)","det.: some,  a few,  a little"
必須,"bìxū (必須, 必须)",must
文化,"wénhuà (文化, 文化)","civilization, literacy, acculturation, Kultur, vandalism, cultural, education, schooling, culture"
高,"gāo (高, 高)","tall, high"
孩子,"háizi (孩子, 孩子)","kid, issue, chap, daughter, children, sonny, son or daughter, child, spawn, boy, kipper, son"
沒有,"méiyǒu (沒有, 没有)","not have, there is not, be without"
不能,"bùnéng (不能, 不能)","must/may/can not, not be allowed"
如,"rú (如, 如)","according to, in accordance with, such as, as if, like, for example"
開始,"kāishǐ (開始, 开始)","begin, start"
元,"yuán (元, 元)",m.[standard]
不同,"bùtóng (不同, 不同)",different
仍,"réng (仍, 仍)","yet, anyway, still"
網路,"wǎnglù (網路, 网路)","WWW, net, network, Internet, meshwork, web, world wide web, mesh, reticulation"
日本,"rìběn (日本, 日本)","Nippon, Cipango, Nihon, Japan, japan, Japanese"
用,"yòng (用, 用)",with
中心,"zhōngxīn (中心, 中心)","center, heart, hub"
雖然,"suīrán (雖然, 虽然)","conj.: though, although"
重要,"zhòngyào (重要, 重要)","important, significant, major"
地方,"dìfāng (地方, 地方)","country, soil, terrain, part, clime, way, territory, room, neighbourhood, tinderbox, locality as distinct from the central administrat, child, tract, province, position, respect, where, region, space, place, local"
進行,"jìnxíng (進行, 进行)","be in progress, go on, carry on/out"
關係,"guānxì (關係, 关系)","relation, bearing, impact, membership credentials, ""backdoor connections"""
市場,"shìchǎng (市場, 市场)","bourse, bazar, marketplace, grocery store, agora, bazaar, securities industry, grocery, piazza, plaza, rialto, mart, pitch, market"
太,"tài (太, 太)","excessively,  too,  extremely,  very"
老師,"lǎoshī (老師, 老师)","rabbi, professor, swami, instructor, teacher, mast"
提供,"tígōng (提供, 提供)","feed, offer, put_up, afford, proffer, set_up, capitalize, bring_forward, sponsor, extend, ply, provision, sustain, equip, supply, cough_up, bear, render, furnish, cater, billet, provide"
學校,"xuéxiào (學校, 学校)","seminary, schoolhouse, educational institution, school, institution"
應該,"yīnggāi (應該, 应该)","should, ought to"
指出,"zhǐchū (指出, 指出)","point, point_out, catch_out, bespeak, indicate, denote, point out that , note, show, designate, point out"
經濟,"jīngjì (經濟, 经济)","economy, financial condition, income"
其他,"qítā (其他, 其他)","det.: others, the rest, other, else"
家,"jiā (家, 家)","family, household, home, house"
發展,"fāzhǎn (發展, 发展)","develop, expand, grow"
教育,"jiàoyū (教育, 教育)",education
成為,"chéngwéi (成為, 成为)","find, join, comprise, turn to, commemorate, sample, entomb, come_up, commence, get hold, learn, add up, necessitate, run, make up, constitute, make, form, come, amount, represent, fall, presage, change, be, turn, turn into, become, line up, come up, shape, portend, foretell, get"
多,"duō (多, 多)","many, much, more, more than the correct/required number, excessive, too much, much/far more"
非常,"fēicháng (非常, 非常)","extraordinary, unusual, special, very, extremely, highly"
便,"biàn (便, 便)","as early as, soon afterwards, little as, as early, and then, and so, so, as early/little as, as little as, then, in that case"
方面,"fāngmiàn (方面, 方面)","side, aspect, sector, part, light, facet, behalf, way, respect, direction, bearing, field, phase, sphere, angle, hand"
很多,"hěnduō (很多, 很多)",det.:
吃,"chī (吃, 吃)","feed, have, be subject to, absorb, chow, live on, eat, have one's meals, be a strain, exhaust, fare, take in, live off, annihilate, wipe out, partake, suffer, ingest, consume, graze, lunch, manducate, incur, take, get, use up, make, taste, soak up"
然後,"ránhòu (然後, 然后)","therewith, and so, and_then, and then, thereupon, after that, so, then, with that"
未,"wèi (未, 未)","or not at end of sentence , have not yet, or not, not"
發現,"fāxiàn (發現, 发现)","find, discover"
電腦,"diànnǎo (電腦, 电脑)","electronic computer, computery, data processor, information processing system, computer"
一樣,"yīyàng (一樣, 一样)","same, equal, similar"
而且,"érqiě (而且, 而且)","conj.: furthermore, and"
心,"xīn (心, 心)","heart, mind, feeling, center, core"
不過,"búguò (不過, 不过)","conj.: but,  however,  only"
無法,"wúfǎ (無法, 无法)","nohow, unable to, unable, cannot"
企業,"qìyè (企業, 企业)","proposition, business enterprise, business organization, business concern, concern, commercial enterprise, endeavour, endeavor, industry, business, project, corporation, enterprise"
正,"zhèng (正, 正)","precisely, punctually"
服務,"fúwù (服務, 服务)","be in the service of, serve"
較,"jiào (較, 较)","rather, quite, relatively, more"
不會,"búhuì (不會, 不会)",won't
臺灣,"táiwān (臺灣, 台湾)",Taiwan
曾,"zēng (曾, 曾)","once, ever, before"
嗎,"mā (嗎, 吗)",particle: calling for agreement or disagreement
空間,"kōngjiān (空間, 空间)","elbow room, allowance, margin, roomage, open air/sky/space, road, leeway, way, open air, sheets, room, tolerance, opening, clear, sky, spacial, interspace, vacuity, spatial, dimension, open sky/space, space, place, vacuum"
看到,"kàndào (看到, 看到)","view, receive, ken, observe, lamp, catch, see, take in, watch, chatter away, lay_eyes_on, boast, brag, shoot the breeze, spy, catch sight of,  catch sight of"
五,"wǔ (五, 五)",det.: five
如何,"rúhé (如何, 如何)",how
國內,"guónèi (國內, 国内)","interior of country , interior, home, intestine, internal, domestic"
們,"men (們, 们)",pluralizer after pronouns and nouns of persons
無,"wú (無, 无)","not have, there is not"
對於,"duìyū (對於, 对于)","in regard to, toward, at, for"
以及,"yǐjí (以及, 以及)","conj.: as well as,  along with,  and"
之後,"zhīhòu (之後, 之后)","later, behind, at the back of, after"
可是,"kěshì (可是, 可是)","conj.: but,  yet,  however"
當,"dāng (當, 当)","when, while"
人員,"rényuán (人員, 人员)","strength, personnel, force, staff"
比,"bǐ (比, 比)",compared with
先,"xiān (先, 先)","earlier, in advance, before"
產品,"chǎnpǐn (產品, 产品)","baby, brand, output, product, produce, end product, merchandise, fruitage, growth, manufacture, wares, production"
資訊,"zīxùn (資訊, 资讯)","stuff, message, information, news, info"
資料,"zīliào (資料, 资料)","food, source, info, means, data, information, material, datum, data point, matter"
比較,"bǐjiǎo (比較, 比较)","relatively, fairly"
先生,"xiānshēng (先生, 先生)","doctor of Chinese medicine, Don, mulla, Ms., sir., teacher, gentleman, gospodin, Signor, signor, fortune teller, babu, baboo, Herr, Mister, bey, mister, bwana, husband, siree, buckra, sirrah, senor, guv, sahib, Mr., rabbi, don, signore, Dan, sir, m'sieur, effendi, Tuan, baas, Monsieur, lording, monsieur, doctor, Mr, milord, Mynheer, signior, esquire, bookkeeper, Senor, rabboni, Senhor, sieur, sen"
地,"dì (地, 地)","the earth, land, soil, fields, ground, place, position, background, distance"
除了,"chúle (除了, 除了)","except, besides"
大陸,"dàlù (大陸, 大陆)",Ch. mainland
需要,"xūyào (需要, 需要)","need, want, require, demand"
像,"xiàng (像, 像)",be like
給,"gěi (給, 给)","give, give to"
歲,"suì (歲, 岁)","year for crops , m.[standard], , year of age, year"
請,"qǐng (請, 请)","request, ask a favor , engage, hire"
月,"yuè (月, 月)",moon
些,"xiē (些, 些)",m.[proximation]
名,"míng (名, 名)",m.[general]
另,"lìng (另, 另)",det.: another
若,"ruò (若, 若)","conj.: if, as if"
亦,"yì (亦, 亦)","also, too"
地區,"dìqū (地區, 地区)","section, country, area, latitude, zone, terrain, parts, locality, sector, province, prefecture, region, district, faubourg"
技術,"jìshù (技術, 技术)","mechanics, know how, prowess, science, Minerva, superior skill, art, competence, technology, craft, craftsmanship, skill, education, technique, artistry, engineering, technological, equipment, technical"
至,"zhì (至, 至)","to,  until,  till"
特別,"tèbié (特別, 特别)","unusual, specially"
其實,"qíshí (其實, 其实)","as a matter of fact, actually, in fact"
國際,"guójì (國際, 国际)",international
不要,"búyào (不要, 不要)","never, noway, don't want, don't do sth."
發生,"fāshēng (發生, 发生)","happen, occur, take place"
參加,"cānjiā (參加, 参加)","join, attend, take part in, give advice/etc."
一定,"yīdìng (一定, 一定)",must
其中,"qízhōng (其中, 其中)","among, of them, in it, among them, which, them, det.: it, in, in which"
問,"wèn (問, 问)","ask, examine, question, interrogate"
台北,"táiběi (台北, 台北)","capital of Nationalist China, capital of Republic of China on Taiwan, Taipei"
包括,"bāokuò (包括, 包括)","consist_of, consist of, subtend, embrace, comprise, incorporate, embody, involve, count, subsume, take_in, comprehend, incorporation, include, comprize, run, cover, package, consist in"
講,"jiǎng (講, 讲)","discourse, utter, talk, negotiation, make clear, negotiate, parley, pay attention to, speak, syllable, discuss, explain, tell, be particular about, explanation, interpretation, interpret, relate, discussion, stress, mouth, say, remark, verbalize"
造成,"zàochéng (造成, 造成)","make_for, give rise to, create, set_up, strike, creation, cause, contribute, bring_about, procure, give, bring about, cut_out, necessitate, shape, present, bring_forth, generate, yield, make, breed"
常,"cháng (常, 常)","often, usually, frequently"
即,"jí (即, 即)","at present, in the immediate future, then, promptly, at once"
喜歡,"xǐhuān (喜歡, 喜欢)","like, love, be fond of, be happy/elated"
沒,"méi (沒, 没)",not
出現,"chūxiàn (出現, 出现)","appear, arise, emerge"
政治,"zhèngzhì (政治, 政治)","paternalism, trouble, government, policy, political relation, political science, polity, politics, political affairs, political"
話,"huà (話, 话)","words, thing, language, tongue, talk, speech, spoken_language, conversation, utterance, expression, story, tale, saying, natural language, sayings, word"
走,"zǒu (走, 走)","scram, travel, foot, go away, evaporate, ankle, waltz, step, bugger off, etc., go through, leave, leak, run, buzz off, leg, pad, fork, visit, go, escape, lose flavor, work, call on, strike, sashay, trace, pursue, gang, lose shape/etc., get_along, come_along, walk, hoof it, lose flavor/shape/etc., leg it, let out, shape, drive, cover, take, get, hoof, move"
單位,"dānwèi (單位, 单位)","department, unit, denomination, module, building block, unit of measurement, monad, unit in measurement or organization"
一直,"yīzhí (一直, 一直)","e'er, away, continuously, all the way, right, forever, all_along, always, the whole way, all along, straight, slap, through, ever, evermore"
吧,"ba (吧, 吧)",particle: used to show mild imperative or uncertainty
是否,"shìfǒu (是否, 是否)","whether or not, is it so or not"
當然,"dāngrán (當然, 当然)","certainly, of course"
整,"zhěng (整, 整)",det.: exact
處理,"chǔlǐ (處理, 处理)","handle, deal with, dispose of, process"
歷史,"lìshǐ (歷史, 历史)","past records, historical, history"
了解,"liǎojiě (了解, 了解)","understand, comprehend, find out, acquaint oneself with"
怎麼,"zěnme (怎麼, 怎么)",how
機會,"jīhuì (機會, 机会)","scouth, occasion, good luck, hap, liberty, fortune, opportunity, chance, joss, hazard, happy chance, probability, luck, scope, room, break, turn, opening"
聽,"tīng (聽, 听)","hear, list, hearken, obey, obedience, listen, heed, administer, let, allow, hark"
所有,"suǒyǒu (所有, 所有)",det.: all
只要,"zhǐyào (只要, 只要)","conj.: so long as, provided"
朋友,"péngyǒu (朋友, 朋友)","amigo, connections, kith, friend, boy, crony, ami, boy/girl friend, companion, mate, boy friend or girl friend, compadre, boy friend, Mac, paisano, matey, old_boy, sport, folks, pard, hearty, Kamerad, cocker, cobber, girl friend, pardner, company"
令,"lìng (令, 令)","make, cause"
甚至,"shènzhì (甚至, 甚至)","even to the point of , so much so that"
真,"zhēn (真, 真)","really,  truly,  indeed,  clearly"
六,"liù (六, 六)",det.: six
呀,"ya (呀, 呀)","particle: replacing 啊 when preceding word ends in a,  e,  i,  o,  or y u; used in direct address and exclamation; indicating obviousness/impatience/suggestion; used for confirmation"
情況,"qíngkuàng (情況, 情况)","event, things, state of affairs, circumstantiality, case, circumstances, way, plight, experimental condition, streak, military situation, matter, condition, mood, circumstance, context, occasion, thing, instance, affair, shape, situation, juncture, consideration"
還是,"háishì (還是, 还是)","still, nevertheless"
錢,"qián (錢, 钱)","copper coin, cash, money, fund, sum"
方法,"fāngfǎ (方法, 方法)","know how, plan, attack, system, stepping stone, manner, method, gateway, idea, measure, way, guise, key, wise, quomodo, plan of attack, tack, machinery, process, avenue, modus, how, means, channel, gate, approach, agency, gamesmanship, mode, medium, sort"
點,"diǎn (點, 点)",m.[proximation]
任何,"rènhé (任何, 任何)","aught, det.: any"
經驗,"jīngyàn (經驗, 经验)",experience
藝術,"yìshù (藝術, 艺术)","beaux arts, aesthetical, artistic production, artistic, ars, art, academy, aesthetic, artistic creation, skill, craft, artistry, esthetic"
你們,"nǐmen (你們, 你们)","you, you plural , you"
十,"shí (十, 十)",det.: ten
主要,"zhǔyào (主要, 主要)","main, chief, principal, major"
媽媽,"māmā (媽媽, 妈妈)","mummy, mammy, ma, mother, mamma, mum, mommy, female parent, mom, Mama, mater, mama, momma"
增加,"zēngjiā (增加, 增加)","increase, raise, add"
提出,"tíchū (提出, 提出)","put forward, pose, raise"
為什麼,"wèishéme (為什麼, 为什么)","why, why?, how come, why is it that?, whereat, whereto"
您,"nín (您, 您)",you
計畫,"jìhuà (計畫, 计画)","plan, project, program"
作,"zuò (作, 作)","do, make, rise, write, compose, pretend, affect, feign"
利用,"lìyòng (利用, 利用)","use, utilize, take advantage of, exploit"
東西,"dōngxī (東西, 东西)","thing, creature"
條,"tiáo (條, 条)","bar, item, short note, a long narrow piece, streak, clause, stripe, sth. long and narrow, filet, m.[general], , article, strip, assize, twig, ingot, slip"
設計,"shèjì (設計, 设计)","design, plan"
找,"zhǎo (找, 找)","look for, seek, call on, approach"
之間,"zhījiān (之間, 之间)","among,  between"
成長,"chéngzhǎng (成長, 成长)","grow up, mature"
能夠,"nénggòu (能夠, 能够)","can, able, would, may"
決定,"juédìng (決定, 决定)","decide, resolve, make up one's mind, determine"
學習,"xuéxí (學習, 学习)","study, learn, emulate"
誰,"shéi (誰, 谁)","who, someone, anyone"
見,"jiàn (見, 见)","see, be exposed to, become visible, call on, refer to, meet with, appear to be, appear, vide, catch sight of, meet"
半,"bàn (半, 半)",det.: half
時代,"shídài (時代, 时代)","day, period, a period in one's life, epoch, present time, historical period, time, chapter, period in one's life, modern times, historic period, contemporary world, times, era, modern world, age"
完成,"wánchéng (完成, 完成)","fill in, finish out, fulfil, practice, complete, finish, encompass, clear_up, top_off, cleave, top off, accomplishment, make out, effect, perfective, fulfill, go through, exercise, discharge, fill out, completion, end, run, bring ... to fruition, round_out, achieve, execute, round out, make, cap off, accomplish, practise, follow through, come, finalize, fulfilment, dispatch, bring ..."
帶,"dài (帶, 带)","look after, raise"
相當,"xiāngdāng (相當, 相当)","quite, fairly, considerably"
同學,"tóngxué (同學, 同学)","class fellow, fellow student, condisciple, classmate, schoolmate, schoolfellow, form of address used in speaking to a student"
件,"jiàn (件, 件)","correspondence, paper, document, bit, m.[general], , single item, letter, piece"
能力,"nénglì (能力, 能力)","department, potency, ability, acquisition, acquirement, capacity, performance, oomph, sufficiency, energy, competence, accomplishment, size, might, faculty, hand, coequal, efficiency, inner resources, capability, giftie, attainment, capableness, zip, skill, competency, power"
別人,"biérén (別人, 别人)","others, other people, another person"
生命,"shēngmìng (生命, 生命)","breath, god, head, anima, days, organism, blood, life, living thing, skin, longevity, being, vital, life form"
場,"cháng (場, 场)",m.[event]
會議,"huìyì (會議, 会议)","synod, moot, conference, board, convocation, soviet, congress, talks, indaba, negotiation, junta, group discussion, convention, meeting place, session, council, rendezvous, colloquy, coming together, powwow, seance, meeting, forum, consultation, roll up, get together, assembly"
容易,"róngyì (容易, 容易)",easy
開發,"kāifā (開發, 开发)","develop, open up, exploit"
民眾,"mínzhòng (民眾, 民众)","civil, crowd, masses, populace, rank_and_file, the masses, the masses of the people, the populace, demos, mob, multitude, plebs, commons, the common people, the people, million, public"
