key,alt,answer
事情,"shìqíng (事情, 事情)","proposition, pie, shebang, thing, affair, occasions, undertaking, concern, question, business, schmear, matter"
書,"shū (書, 书)","volume, document, style of calligraphy, book, script, letter"
事實,"shìshí (事實, 事实)","mood, circumstance, fact, factual, reality, verity, case, deed, sooth, troth, actuality, truth, matter, matter of fact"
有關,"yǒuguān (有關, 有关)",be related
自,"zì (自, 自)","from, since"
組織,"zǔzhī (組織, 组织)","tissue, nerve, weave, organization, organized system"
言,"yán (言, 言)","say, talk, speak"
愛,"ài (愛, 爱)","love, like, be fond of, be keen on, cherish, be apt to"
建立,"jiànlì (建立, 建立)","establish, set up, found"
相關,"xiāngguān (相關, 相关)","cognate, relational, interrelate, associated, be interrelated, relevant, related, be mutually related"
均,"jūn (均, 均)","without exception, all"
產生,"chǎnshēng (產生, 产生)","come into being, produce, engender, emerge"
業者,"yèzhě (業者, 业者)","dealer, interest"
解決,"jiějué (解決, 解决)","solve, resolve, settle, dispose of, finish off"
完全,"wánquán (完全, 完全)","completely, fully, wholly, absolutely"
的話,"dehuà (的話, 的话)",conj.: if
接受,"jiēshòu (接受, 接受)","receive honors, have, receive, acknowledge, sweep up, espouse, etc. , come to grips, adopt, embrace, greet, welcome, hook on, seize on, take up, accede, taken, entertain, latch on, buy, fasten on, swallow, imbibe, accept, receive"
知,"zhī (知, 知)","tell, notify, inform, be expert in, know, sense, be aware of, administration, notification, administer, be in charge of, realize"
約,"yuē (約, 约)","about, around"
建築,"jiànzhù, jiànzhú (建築, 建筑)","building, structure, edifice, architecture"
一般,"yībān (一般, 一般)","general, ordinary, common"
推動,"tuīdòng (推動, 推动)","push forward, promote"
過程,"guòchéng (過程, 过程)","unconscious process, mechanism, process, act, round, course"
管理,"guǎnlǐ (管理, 管理)","manage, supervise, take care of"
功能,"gōngnéng (功能, 功能)","functional, niche, function, competence, capacity, anatomy"
手,"shǒu (手, 手)",hand
打,"dǎ (打, 打)","generalized verb of doing with specific meaning determined by its object, strike, hit, fight, construct, forge, mix"
水,"shuǐ (水, 水)","water, H2O, liquid, bubble, a general term for rivers,  lakes,  seas,  etc., Shiu, waters, aqueous, Aquarius, river, Surname, blister, drink, eau, aqua"
要求,"yāoqiú (要求, 要求)","request, demand"
小朋友,"xiǎopéngyǒu (小朋友, 小朋友)","child adult address to child , little boy, children, little boy/girl, girl, little girl, little boy or girl, child"
教授,"jiàoshòu (教授, 教授)",professor
難,"nán (難, 难)","make difficulties, take to task, put ... into a difficult position, disagreeable, make difficult, unpleasant, hard, difficult, troublesome, blame"
我國,"wǒguó (我國, 我国)",our country
告訴,"gàosù (告訴, 告诉)","tell, preach, notify, impart, inform, represent, apprize, send word, share, advise, give notice, apprise, assure, let know"
內容,"nèiróng (內容, 内容)","subject_matter, content, cognitive content, internal, contents, mental object, meat, substance, matter, lining"
結果,"jiéguǒ (結果, 结果)","result, outcome, consequence"
調查,"diàochá (調查, 调查)","investigate, look into, survey"
家庭,"jiātíng (家庭, 家庭)","hearthstone, background, fireside, establishment, household, hearth, domestic, hearthside, menage, home, family unit, family, house"
成立,"chénglì (成立, 成立)","found, establish, be tenable, hold water"
選擇,"xuǎnzé (選擇, 选择)","select, opt"
經營,"jīngyíng (經營, 经营)","manage, run, engage in"
然而,"ránér (然而, 然而)","conj.: even so, but"
父母,"fùmǔ (父母, 父母)","parental, parents, father and mother, folks"
寫,"xiě (寫, 写)","description, bewrite, direct, describe, pencil, draw, paint, inscribe, write, depiction, write_out, throw_off, depict, address, author, screeve, word, compose"
人類,"rénlèi (人類, 人类)","man, wight, human_being, human, human race, mankind, individual, human species, Homo_sapiens, populace, creature, hominid, world, mortality, microcosm, humans, humanitarianism, humanity, humanness, human beings/species, people, species, humankind, human beings, public, mortal"
至於,"zhìyū (至於, 至于)",as for/to
買,"mǎi (買, 买)","pick up, invest, hire, buy, purchase, put_down, trade, get"
尤其,"yóují (尤其, 尤其)",especially
配合,"pèihé (配合, 配合)","coordinate,  cooperate"
進入,"jìnrù (進入, 进入)","go_into, get_in, debouch, get in, go into, move into, come_into, pass, step_in, lapse, get_into, set in, go in, get into, kick in, penetrate, intromission, pierce, come_in, come in, enter, entry, sink, impenetrate"
例如,"lìrú (例如, 例如)","for instance/example, e.g., such as"
得,"děi (得, 得)","should be, need"
討論,"tǎolùn (討論, 讨论)","to discuss, to take something up with someone, to talk about"
依,"yī (依, 依)","according to, judging by"
作品,"zuòpǐn (作品, 作品)","writing, musical composition, whole kit and caboodle, works of literature, artwork, kit and caboodle, product, whole works, creation, full treatment, kit and boodle, whole kit and boodle, works of literature/art"
情形,"qíngxíng (情形, 情形)","circumstance, trimness, event, trim, instance, state of affairs, case, circumstances, status, situation, condition"
資源,"zīyuán (資源, 资源)","resource, natural resources, mine, resources"
原因,"yuányīn (原因, 原因)","origin, causation, reason, wherefore, causal, breeder, spore, cause, causal agent, whence, causal agency, occasion, root, subject, causality, why, starter"
啦,"lā (啦, 啦)",particle: used when informing sb. of st.; indicating excitement/doubt/comfort/etc.
妳,"nǐ (妳, 妳)",you female
運動,"yùndòng (運動, 运动)","sports, athletics, exercise, movement, campaign"
觀念,"guānniàn (觀念, 观念)","conception, intension, theory, philosophy, idolum, connotation, idea, sense, presentation, notion, concept, construct, intellection, presentment, thought, notional, conceit"
軟體,"ruǎntǐ (軟體, 软体)",software
品質,"pǐnzhí (品質, 品质)","calibre, appraisal, caliber, character, self, intrinsic, brew, quality, timber, sort"
經過,"jīngguò (經過, 经过)","pass, go through, undergo"
如此,"rúcǐ (如此, 如此)","thus, like this, such"
嗯,"ēn (嗯, 嗯)","O.K., How come, Huh, What, Why, Agreed!, well, um"
精神,"jīngshén (精神, 精神)","god, guts, heart, pneuma, consciousness, vigor, life, energy, vim, courage, esprit, moral, get up and"
影響,"yǐngxiǎng (影響, 影响)",influence
之,"zhī (之, 之)","it,  him,  her,  this"
好像,"hǎoxiàng (好像, 好像)","seem, be like"
成,"chéng (成, 成)","become, turn into"
參與,"cānyū (參與, 参与)",participate in
以後,"yǐhòu (以後, 以后)","afterwards, later, future, in the future, hereafter"
於是,"yūshì (於是, 于是)","conj.: thereupon, hence, consequently, as a result"
部分,"bùfèn (部分, 部分)","partial, department, section, partialness, slice, pars, part, det.: part, percent, partage, sphere, component, divvy, segment, portion, fraction, sector, chapter, share, percentage, piece, division, sectional, parcel"
另外,"lìngwài (另外, 另外)","conj.: in addition,  besides,  moreover"
公園,"gōngyuán (公園, 公园)","common, green, garden, commons, park"
透過,"tòuguò (透過, 透过)",via
訓練,"xùnliàn (訓練, 训练)",training
努力,"nǔlì (努力, 努力)","make great effort, try hard"
具有,"jùyǒu (具有, 具有)","be provided with, have, have got, possess, hold, possession, carry, inhere, bear"
共同,"gòngtóng (共同, 共同)","common, joint"
所謂,"suǒwèi (所謂, 所谓)",so called
行為,"xíngwéi (行為, 行为)","fact, demeanor, form, deportment, dealing, behavior, doings, course, act, point, goings on, demeanour, procedure, lapse, going, bearing, turn, behaviour, activity, ongoing, thing, human action, conduct, commitment, human activity, behavioral, agency, deed, comportment, action"
合作,"hézuò (合作, 合作)","cooperate, collaborate, work together"
經,"jīng (經, 经)","as a result of, through, after"
目標,"mùbiāo (目標, 目标)","polestar, objective, goal, bourn, object, meaning, aim, end point, target, cause, landmark, butt, lodestar, bull's eye, mark, tee, cynosure, end, bell ringer, loadstar, quaesitum, destination"
起來,"qǐlái (起來, 起来)",[aspect]
考慮,"kǎolù (考慮, 考虑)","think over, consider"
長,"cháng (長, 长)","long, be strong/good in/at"
意見,"yìjiàn (意見, 意见)","latitude, point_of_view, estimation, sight, conceit, verdict, hypothesis, attitude, estimate, possibility, judgement, appraisal, ground, slant, differing opinion, ruling, complaint, thinking, suggestion, comment, advisement, mind, apprehension, say, vote, impression, deliverance, view, understanding, feeling, idea, notion, sentiment, judgment, advice, current, opinion, advert, theory, v"
辦法,"bànfǎ (辦法, 办法)","road, expedient, policy, agency, measure, way, method, means"
音樂,"yīnyuè (音樂, 音乐)",music
連,"lián (連, 连)",conj.: including
受,"shòu (受, 受)",passive signifier
廠商,"chǎngshāng (廠商, 厂商)","factory owner, factories and stores, firm, maker, business organization, business concern, manufacturing business, concern, manufacturer, business"
隻,"zhī (隻, 只)",m.[general]
受到,"shòudào (受到, 受到)","experience, receive, come in for, suffer, undergo, come_in_for, be given, come_to, be subjected to"
一切,"yīqiè (一切, 一切)","det.: everything,  every"
或是,"huòshì (或是, 或是)","conj.: or, perhaps"
中央,"zhōngyāng (中央, 中央)",central authorities of state/party/etc.
某,"mǒu (某, 某)","det.: some, certain"
女性,"nǔxìng (女性, 女性)","lady, female sex, womankind, feminie, female, sex, petticoat, femininity, female person, woman, she, patroness, womanhood, fair, feminine"
教學,"jiāoxué (教學, 教学)",teach and study
極,"jí (極, 极)","extraordinary, unusual, special, very, extremely, highly"
獲得,"huòdé (獲得, 获得)","find, cop, acquirement, come_into, gain, draw, pick_up, pull, achievement, score, procure, come_by, get hold, purchase, nab, come upon, derive, latch, incur, achieve, make, bring, receive, arrive, come_out, pocket, obtain, luck into, sack, win, enter upon, pick up, garner, harvest, attain, come up, line up, extract, secure, possess, earn, reap, accrue, cover, take, acquire, get, arrive_at"
真的,"zhēnde (真的, 真的)","really, truly, indeed"
路,"lù (路, 路)","road, path, way, journey, distance, means, sequence, logic, line, region, district, route, sort, grade, class"
快,"kuài (快, 快)","fast, quick, quick witted, ingenious, sharp of knives"
國小,"guóxiǎo (國小, 国小)","primary/elementary school, primary school"
部份,"bùfèn (部份, 部份)","composition, segment, section, side, portion, slice, proportion, part, det.: part, share, component, division, phase, place, piece"
工程,"gōngchéng (工程, 工程)","process, construction, engineering, engineering project, project"
女人,"nǔrén (女人, 女人)","jade, crumpet, female, female person, Gill, bitch, chick, fair, squaw, womenfolk, adult female, doll, momma, wench, skirt, womankind, girl, jill, wife, broad, petticoat, sister, woman, bimbo, bird, jane, she, hen, hairpin, dame, women"
舉行,"jǔxíng (舉行, 举行)",hold meeting/etc.
句,"jù (句, 句)","sentence, m.[general],"
只是,"zhǐshì (只是, 只是)","merely, only, just, simply be"
段,"duàn (段, 段)",m.[general]
根據,"gēnjù (根據, 根据)","on the basis of, according to"
現象,"xiànxiàng (現象, 现象)","phenomenon, phenomenal, appearance"
人民,"rénmín (人民, 人民)","multitude, citizen, quarter, Volk, hoi polloi, subject, people, nationals, masses, the people, mass, demotic"
土地,"tǔdì (土地, 土地)","country, acre, terra, soil, premise, realm, territory, dirt, local god of the land, farming, earth, ground, kingdom, holding, agrarian, solid ground, benefice, esplees, tract, village god, glebe, terra firma, land, dry land"
面對,"miànduì (面對, 面对)","face up, stand up, face, look_out_on, confront, front, affront, envisage, accost, breast"
注意,"zhùyì (注意, 注意)","pay attention to, take note of"
這裡,"zhèlǐ (這裡, 这里)","this place, there, here"
新聞,"xīnwén (新聞, 新闻)","unco, leak, intelligence, newsworthiness, witting, journalistic, information, journalism, courant, news"
繼續,"jìxù (繼續, 继续)","go, resume, keep_on, abide, come on, persist in, extend, run_on, run on, carry_on, stretch, sustain, pursue, keep going, continuance, get_along, get_on, remain, continue, keep_up, go ahead, keep up, come up, continuation, hold, carry, run, go_on, maintain, go on, bide, plow ahead, hold_on, piece, restart"
相信,"xiāngxìn (相信, 相信)","deem, believe, credit, esteem, accredit, feel, trow, count, have faith in, guess, lippen, buy, be convinced of, hold, think, trust, accept, know, hone, believe_in, favour, believe in, hope"
政策,"zhèngcè (政策, 政策)","statism, tack, line, policy, statecraft"
變成,"biànchéng (變成, 变成)","grow_into, change into, go, form, grow into, change state, develop into, turn to, fall, turn_into, be, turn, become, turn into, grow, run, get"
計劃,"jìhuà (計劃, 计划)","plan, project, program"
強調,"qiángdiào (強調, 强调)","underscore, spotlight, place emphasis on, point_up, highlight, point, point up, enforce, emphasise, urge, underline, overstress, give emphasis to, play up, keynote, insist, punctuate, accent, betone, foreground, emphasize, emphatic, stress, set off, overemphasize, accentuate, bring out"
學,"xué (學, 学)","study, learn, imitate, mimic"
人士,"rénshì (人士, 人士)","public figure, personage"
前,"qián (前, 前)",front
存在,"cúnzài (存在, 存在)","exist, be"
制度,"zhìdù (制度, 制度)","ism, organization, dispensation, regimen, machine, regulations, form, system, regime, organisation, economy, institutional, institution"
意義,"yìyì (意義, 意义)","importance, significance, denotation, purport, drift, signality, emptiness, meaning, construction, bearing, substance, import, effect, insignificancy, hang, signification, sense"
代表,"dàibiǎo (代表, 代表)","representative, delegate"
課程,"kèchéng (課程, 课程)","course of instruction, lesson, course, course of lectures, course of study, curricular, class, curricula, syllabus, curriculum, program"
需求,"xūqiú (需求, 需求)","need, requisition, demand, want, desiderative, requirement, call"
人生,"rénshēng (人生, 人生)","lifetime, life, lifespan, human life, time of life"
那些,"nǎxiē (那些, 那些)",det.: those
成功,"chénggōng (成功, 成功)",succeed
爸爸,"bàbà (爸爸, 爸爸)","old man, father, papa, pappa, daddy, pa, begetter, pop, dada, dad, male parent, pater, pappy, pops, poppa"
產業,"chǎnyè (產業, 产业)","estate, manufacture, industry, domain, manufacturing, property"
負責,"fùzé (負責, 负责)","preside, be responsible for, see, entail, sponsor, be in charge of, blame, answer, undertake, liable, respond"
民間,"mínjiān (民間, 民间)","grass roots, people to people, nongovernmental, among the people, folk, popular"
雖,"suī (雖, 虽)","conj.: though, although, even if"
直接,"zhíjiē (直接, 直接)","direct, immediate"
幾乎,"jīhū (幾乎, 几乎)","chiefly, anear, about, near, just_about, most, well nigh, almost, closely, practically, intimately, all but, nearly, just about, virtually, much, nigh"
分,"fèn (分, 分)",m.[general]
實際,"shíjì (實際, 实际)","practical, literal"
團體,"tuántǐ (團體, 团体)","fraternity, sect, phalanx, collective, body, group, sodality, element, organisation, corporation, confession, college, establishment, brotherhood, community, organization, squad, union, administration, society, army, commonwealth, consort, company, lineup, combine, governance, clan, combination, fellowship, organizational, bloc, team, party, connection, family, brass, squadron"
價值,"jiàzhí (價值, 价值)","value, worth"
使得,"shǐdé (使得, 使得)","render, wreck, compel, cause, make"
類,"lèi (類, 类)",m.[kind]
形成,"xíngchéng (形成, 形成)","take shape, form"
科技,"kējì (科技, 科技)","technology, tech, engineering science, applied science, science and technology, technological, engineering"
這麼,"zhèmo (這麼, 这么)","so, such, this way, like this"
七,"qī (七, 七)",det.: seven
不但,"búdàn (不但, 不但)",conj.: not only
往,"wǎng (往, 往)",go toward
本身,"běnshēn (本身, 本身)","per se, self, oneself, identity, itself"
標準,"biāozhǔn (標準, 标准)","standard, criterion"
似乎,"sìhū (似乎, 似乎)","it seems, quasi, apparently, seemingly, as if"
應用,"yìngyòng (應用, 应用)","application, use"
或者,"huòzhě (或者, 或者)","conj.: or, either...or..."
動物,"dòngwù (動物, 动物)","thing, critter, crittur, zoic, anthropomorphism, animal, deer, animate being, beast, creature, burrow, sire, worker, fauna, brute"
電話,"diànhuà (電話, 电话)","blower, phone call, headphone, earpiece, telephone, telephone_call, buzz, earphone, horn, telephone set, phone_call, telephony, phone"
態度,"tàidù (態度, 态度)","stance, treatment, demeanor, dealing, deportment, pose, behavior, manner, demeanour, way, bearing, attitude, air, behaviour, front, mien, conduct, mental attitude, approach, posture, address, position, bedside_manner, movement, gesture, comportment, presence, sort"
建設,"jiànshè (建設, 建设)",construction
事業,"shìyè (事業, 事业)","proposition, task, pidgin, institution, undertaking, deed, facilities, life history, endeavour, endeavor, cause, career, project, action, enterprise"
老,"lǎo (老, 老)","old, aged;of long standing, outdated, tough, overgrown, dark of colors"
那麼,"nàmo (那麼, 那么)",so
常常,"chángcháng (常常, 常常)","oftentimes, ofttimes, commonly, ordinarily, oft, often, a great deal, normally, frequently, unremarkably, much, usually"
字,"zì (字, 字)","graphic symbol, writing, pronunciation of a word , form of a written character, receipt, printing type, script, name taken at the age of 20, courtesy name, wordage, character, grapheme, contract, scripts, symbolic representation, style of handwriting, word"
坐,"zuò (坐, 坐)","sit, take seat"
舉辦,"jǔbàn (舉辦, 举办)","conduct, hold, run"
自我,"zìwǒ (自我, 自我)","self, oneself"
有的,"yǒude (有的, 有的)",det : some
具,"jù (具, 具)","possess, have, provide, furnish"
目的,"mùdì (目的, 目的)","view, pretence, objective, goal, purport, intention, bourn, object, motive, motivation, meaning, aim, end point, hent, target, scope, sense of purpose, errand, purposefulness, sake, function, end, purpose, quaesitum, intent"
塊,"kuài (塊, 块)",m.[general]
條件,"tiáojiàn (條件, 条件)","mood, formula, conditional, precondition, prerequisite, requisition, factor, qualification, requirement, stipulation, proviso, circumstances, provision, term, reservation, if, condition"
即使,"jíshǐ (即使, 即使)","conj.: even,  even if/though"
十分,"shífēn (十分, 十分)","very,  fully,  utterly,  extremely"
多少,"duōshǎo (多少, 多少)","det.: how many, how much, many"
放,"fàng (放, 放)","loose, bloom, make longer, set ... free, let sb. have his own way, show, readjust, free, make larger, put in, fly, etc., release, discharge, leave alone, bung, lay aside, put, expansion, make longer/larger/etc., fling, localize, lend money at interest, let go, set, pasture, pose, set free, blossom, lay, let off, put out to pasture, send away, play, expand, make larger/etc., readjus"
電影,"diànyǐng (電影, 电影)","cinematography, moving_picture, pix, kinema, picture, film, movie, moving picture, flick, cinema, motion_picture, cinematic, celluloid, picture show, motion picture, flicker"
科學,"kēxué (科學, 科学)","ology, scientific, science, scientific knowledge"
執行,"zhíxíng (執行, 执行)","carry out, execute"
邊,"biān (邊, 边)","border, boundary"
委員會,"wěiyuánhuì (委員會, 委员会)","board, soviet, commission, committee, court, citizens committee, mission, delegacy, deputation, delegation, council"
溝通,"gōutōng (溝通, 沟通)","communicate, link up"
開,"kāi (開, 开)","open, open up, reclaim land , open out, come loose, start, begin, operate, turn on"
一起,"yīqǐ (一起, 一起)","in_chorus, together, in all, in the same place, holus bolus, altogether, in company"
張,"zhāng (張, 张)",m.[general]
針對,"zhēnduì (針對, 针对)","in the light of, in connection with"
員工,"yuángōng (員工, 员工)","employee, personnel, reason, force, staff, cause"
引起,"yǐnqǐ (引起, 引起)","elicit, beget, causation, give rise to, incite, pique, engender, bring_on, trigger, fire, compel, kick_up, superindividual, draw, spawn, invite, touch_off, occasion, lead, bring_about, procure, touch off, raise, enkindle, give, poke, produce, capture, generate, stir, arouse, excite, put forward, provoke, breed, bring, conjure up, grip, create, kindle, tempt, set_up, interest, give rise, enga"
自然,"zìrán (自然, 自然)",natural world
安全,"ānquán (安全, 安全)","safe, secure"
總統,"zǒngtǒng (總統, 总统)",president of a republic
此外,"cǐwài (此外, 此外)","conj.: besides, in addition, moreover"
擁有,"yǒngyǒu (擁有, 拥有)","occupy, have, receive, aught, hold back, keep, keep back, owe, retain, own, possess, possession, hold, seize, take, acquire, corral, hold on"
並且,"bìngqiě (並且, 并且)","conj.: and, besides, moreover"
事件,"shìjiàn (事件, 事件)","fact, event, page, incidental, go, case, job, natural event, timing, proceedings, social occasion, happening, occurrence, matter, occasion, incident, shebang, affair, chapter, concernment"
研究所,"yánjiùsuǒ (研究所, 研究所)","graduate_school, research institute, school, laboratory, graduate school, institute"
語言,"yǔyán (語言, 语言)","linguistic communication, lingual, language, idiom, tongue, oral communication, speech, perspicuity, lingo, contumely, Fortran, parole, natural language, spoken language, linguistic process"
嚴重,"yánzhòng (嚴重, 严重)","serious, significant, acute, critical, severe, grave"
故事,"gùshì (故事, 故事)","spiel, recital, relation, scam, rede, plot, yarn, narration, story, fiction, tale, history, legend, narrative"
學術,"xuéshù (學術, 学术)","ology, academic, systematic learning, science, learning"
片,"piàn (片, 片)",m.[general]
設備,"shèbèi (設備, 设备)","installation, set, device, appointment, plant, fixing, system, appliance, fixture, fitting, accommodation, fitment, finishing, unit, furnishings, materiel, contrivance, paraphernalia, facilities, rig, equipage, setout, facility, fixings, equipment"
之外,"zhīwài (之外, 之外)","beyond,  apart from,  excluding"
車,"chē (車, 车)",vehicle
基本,"jīběn (基本, 基本)","fundamental, essential, main"
實在,"shízài (實在, 实在)","indeed, really, honestly, in fact, as a matter of fact"
久,"jiǔ (久, 久)","for long time, of specified duration"
套,"tào (套, 套)",m.[general]
達到,"dádào (達到, 达到)","extend to, find, fulfil, compass, encompass, extend, gain, answer, achievement, succeed, fulfill, live_up_to, attainment, strain, bring_up, achieve, get to, touch, strive, make, accomplish, progress to, come, hit, come_out, obtain, reach, attain, clock_up, suffice, do, get, arrive_at"
改善,"gǎishàn (改善, 改善)","improve, perfect"
死,"sǐ (死, 死)",die
結構,"jiégòu (結構, 结构)","constitution, configuration, framing, structural, design, underframe, framework, construction, structure, schematism, economy, fabric, mechanics, composition, machinery, contexture, texture, constellation, fable, ordonnance, skeleton, organization, frame, architecture, chemistry, make"
住,"zhù (住, 住)","inhabit, cease, stay, visit, shack, dwell, stop, people, live, reside, populate, dig"
皆,"jiē (皆, 皆)","all, everyone"
改變,"gǎibiàn (改變, 改变)","change, transform"
拿,"ná (拿, 拿)","take, hold, seize, capture"
小組,"xiǎozǔ (小組, 小组)","squad, section, unit, group"
支持,"zhīchí (支持, 支持)","sustain, hold out, bear;support, back, stand by"
座,"zuò (座, 座)","fare, stand, base, constellation, footstall, pedestal, m.[general], , customer, Aquarius, seating, plinth, place, seat"
醫院,"yīyuàn (醫院, 医院)","spital, hospital, infirmary, hospice"
既,"jì (既, 既)",conj.: since...then
僅,"jǐn (僅, 仅)","scantily, simply, alone, merely, barely, only, but, just"
值得,"zhíde (值得, 值得)","be worth, merit, pay, rate, behove, worthwhile, worth, worthy, deserve, call_for, command"
學者,"xuézhě (學者, 学者)","academic, literate, pandit, letters, litterateur, learned person, literati, philomath, pundit, academician, faculty member, scholar, bookman, clerk, student, scholarly person, man of letters, man of learning, speleologist, doctor, clerisy, initiate, swami, punditry, savant, learned man, sophist"
八,"bā (八, 八)",det.: eight
交通,"jiāotōng (交通, 交通)","intercourse, commutation, transportation, communication, commuting, traffic, traffic_light, liaison man, communications, dealings, liaison"
階段,"jiēduàn (階段, 阶段)","staged, period, phase angle, stage, gradation, level, peg, grade, remove, phase, leg, step"
就是,"jiùshì (就是, 就是)","conj.: even if, even"
申請,"shēnqǐng (申請, 申请)",apply for
主管,"zhǔguǎn (主管, 主管)",person in charge
同,"tóng (同, 同)","det.: simialr, same"
感覺,"gǎnjué (感覺, 感觉)","sense perception, feeling"
電視,"diànshì (電視, 电视)","TV, box, iconoscope, video, television set, teevee, orthicon, huckster, TV set, radiovision, television, telecasting, airwave, telly"
母親,"mǔqīn (母親, 母亲)","venter, materfamilias, mother, mither, sultana, maternal, female parent, mater"
嘛,"má (嘛, 嘛)",particle: used to persuade someone to do something; used to emphasize the obvious
香港,"xiānggǎng (香港, 香港)",Hong Kong
記者,"jìzhě (記者, 记者)","journalist, writer, correspondent, newspaperwoman, newspaperman, gazetteer, newswriter, reporter, pressman, newshound, newsman, newsperson"
壓力,"yālì (壓力, 压力)","force per unit area, P, strain, overwhelming force, pressure sensation, burdensomeness, oppressiveness, pressure, onerousness, stress, compulsion, constraint, muscle, lading"
快樂,"kuàilè (快樂, 快乐)","happy, cheerful"
喝,"hē (喝, 喝)",drink
敢,"gǎn (敢, 敢)","dare, make bold, have courage to, be sure, have confidence to, venture, have the confidence to, be certain"
院,"yuàn (院, 院)","public facility, college, courtyard, designation for certain government offices and pub, hospital, clinic, branch of government, university, institutes, compound, abbey, academy, institute, yard, educational institution, faculty"
也許,"yěxǔ (也許, 也许)","possibly, peradventure, conceivably, assumedly, mayhap, doubtless, ablings, perhaps, perchance, potentially, probably, maybe, presumably, ablins, just"
人們,"rénmen (人們, 人们)","workforce, hands, work force, folk, people, they, the people, men, manpower, common people"
談,"tán (談, 谈)","talk, chat"
生產,"shēngchǎn (生產, 生产)","produce, manufacture"
怕,"pà (怕, 怕)","I'm afraid, dread, funk, I suppose, be afraid of, fear"
身體,"shēntǐ (身體, 身体)","soma, system, physical structure, body, health, carcase, corpus, frame, person, somatic, organic structure, personage"
規定,"guīdìng (規定, 规定)","rules, disciplines, regulations"
